StartDate;EndDate;Progress;Duration (in seconds);RecordedDate;UserLanguage;Informed consent;T1E_1;T2E_1;T3E_1;T4E_1;T5N_1;T6N_1;T7N_1;T8N_1;F1E_1;F2E_1;F3E_1;F4E_1;F5N_1;F6N_1;F7N_1;F8N_1;T1EE_1;T2EE_1;T3EE_1;T4EE_1;T5NE_1;T6NE_1;T7NE_1;T8NE_1;F1EE_1;F2EE_1;F3EE_1;F4EE_1;F5NE_1;F6NE_1;F7NE_1;F8NE_1;T1N_1;T2N_1;T3N_1;T4N_1;T5E_1;T6E_1;T7E_1;T8E_1;F1N_1;F2N_1;F3N_1;F4N_1;F5E_1;F6E_1;F7E_1;F8E_1;T1NE_1;T2NE_1;T3NE_1;T4NE_1;T5EE_1;T6EE_1;T7EE_1;T8EE_1;F1NE_1;F2NE_1;F3NE_1;F4NE_1;F5EE_1;F6EE_1;F7EE_1;F8EE_1;CRT1_1;CRT1_2;CRT1_3;CRT3_1;CRT3_2;CRT3_3;Educational level;Gender;Gender_4_TEXT;Age_1;Pol. partisanship _1;Series
02/05/2025 08:32;02/05/2025 08:37;100;301;02/05/2025 08:37;EN;1;0;6;9;3;5;9;1;5;3;0;1;0;1;1;0;1;10;10;10;10;8;2;1;2;9;8;10;10;6;0;10;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;39;2;8;Emily;4;1;;40;1;A
02/05/2025 08:32;02/05/2025 08:37;100;276;02/05/2025 08:37;EN;1;0;0;0;0;4;3;7;7;0;2;0;0;8;2;0;0;1;8;9;1;6;4;9;10;1;10;9;7;1;2;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;50;39;2;8;Emily;5;1;;53;6;A
02/05/2025 08:31;02/05/2025 08:38;100;403;02/05/2025 08:38;EN;1;8;7;4;2;6;8;9;3;1;0;2;0;7;0;0;0;4;5;5;5;3;5;5;6;4;3;3;4;5;6;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;6;1;;30;4;A
02/05/2025 08:31;02/05/2025 08:38;100;427;02/05/2025 08:38;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;9;5;2;2;9;10;8;3;2;1;1;0;0;0;1;7;4;3;6;10;6;8;7;5;6;8;9;10;8;10;10;4;10;39;2;8;Emily;6;1;;35;1;B
02/05/2025 08:30;02/05/2025 08:39;100;503;02/05/2025 08:39;EN;1;1;5;6;4;6;6;6;6;2;5;5;4;8;4;1;2;6;7;7;5;4;3;6;6;3;7;8;6;4;4;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;50;20;2;7;Emily;6;2;;55;6;A
02/05/2025 08:30;02/05/2025 08:39;100;502;02/05/2025 08:39;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;5;0;0;0;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;10;0;8;10;48;2;8;Emily;5;2;;26;6;B
02/05/2025 08:32;02/05/2025 08:39;100;436;02/05/2025 08:39;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;6;0;6;7;6;3;6;5;3;1;0;3;8;6;6;0;2;1;4;6;4;2;7;4;3;6;0;7;6;4;10;39;2;8;Emily;5;2;;20;5;B
02/05/2025 08:31;02/05/2025 08:39;100;496;02/05/2025 08:39;EN;1;8;2;1;6;2;10;5;10;6;0;3;9;9;8;9;7;7;7;2;4;4;0;5;3;3;0;7;3;2;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;39;2;7;June;4;1;;59;5;A
02/05/2025 08:33;02/05/2025 08:40;100;388;02/05/2025 08:40;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;5;3;2;2;6;7;2;2;3;4;5;3;3;3;1;1;8;1;0;1;1;1;1;8;8;1;1;2;2;1;4;10;39;2;8;Emily;5;1;;53;6;B
02/05/2025 08:30;02/05/2025 08:40;100;568;02/05/2025 08:40;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;4;2;2;4;3;7;0;5;1;5;1;6;0;1;8;2;2;4;2;4;4;10;1;7;7;8;8;1;10;7;4;10;39;2;8;Emily;6;1;;55;5;B
02/05/2025 08:34;02/05/2025 08:40;100;348;02/05/2025 08:40;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;9;5;7;7;5;5;3;3;9;0;5;5;1;6;0;10;4;10;6;6;4;2;2;6;4;0;3;7;4;0;0;4;10;39;2;8;Emily;5;2;;34;5;B
